0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,14,28,0,40,113,16,42,0,0,0,0,0,0,0,0,0,0,3 idiots
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,39,39,10,8,11,39,40,40,49,49,52,65,65,121,20,107,512 Pounds
0,0,1,1,0,1,1,1,1,4,0,4,0,0,0,0,0,0,0,3,14,0,11,30,32,85,50,0,10,0,0,0,0,0,0,0,BISV
0,0,1,1,2,1,4,1,4,2,0,4,0,4,4,0,4,0,0,60,42,40,48,210,99,20,20,0,270,0,60,10,0,10,0,0,Class E
0,0,1,1,2,1,1,1,1,0,0,0,0,4,0,0,0,0,0,3,9,10,84,33,40,97,0,0,0,0,30,0,0,0,0,0,DVCC 2028
0,0,1,1,0,1,1,1,3,3,0,3,0,3,0,0,3,0,0,5,43,0,49,27,19,128,177,0,140,0,161,0,0,149,0,0,Fire Nation
0,0,1,1,0,1,4,1,2,0,0,0,0,4,0,0,0,0,0,32,30,0,34,60,54,20,0,0,0,0,30,0,0,0,0,0,Flint and Steel
0,0,1,1,0,1,1,3,4,0,0,0,0,0,0,0,0,0,0,27,97,0,110,119,137,20,0,0,0,0,0,0,0,0,0,0,Hacking the Beanstalk
0,0,1,1,0,1,1,1,1,1,4,1,1,0,3,0,0,0,0,3,7,0,15,22,28,28,110,30,113,113,0,158,0,0,0,0,MaLin
0,0,1,1,0,1,1,1,1,3,3,1,1,1,1,1,0,0,0,2,10,0,8,10,12,12,208,159,47,54,25,104,104,0,0,0,Maomao Fanclub
0,0,1,1,1,1,1,1,1,1,1,1,1,4,0,0,3,0,0,1,5,33,6,35,21,22,71,51,108,108,30,0,0,272,0,0,OF!Z
0,0,1,1,0,1,1,1,3,0,0,0,0,4,0,0,0,0,0,7,7,0,21,62,29,305,0,0,0,0,10,0,0,0,0,0,Sigma Coders
0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5,59,0,30,74,46,99,0,0,0,0,0,0,0,0,0,0,The Infinite Loops
0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5,22,0,8,115,21,22,0,0,0,0,0,0,0,0,0,0,USACO Silver Demons
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,12,23,23,23,24,24,28,28,49,50,55,88,78,101,319,50,brain of a tourist, hands of a cone
0,0,1,1,2,1,1,2,0,0,0,0,0,4,0,0,0,0,0,23,44,30,71,101,10,0,0,0,0,0,10,0,0,0,0,0,chicken jockey
0,0,1,1,2,1,1,1,1,0,0,0,0,4,0,0,0,4,0,21,104,20,35,69,69,133,0,0,0,0,60,0,0,0,10,0,future mcdonalds workers
0,0,1,1,2,1,1,1,1,1,1,1,1,1,4,0,3,0,0,0,4,10,9,8,12,12,31,31,35,36,82,70,0,166,0,0,how to get more points???
0,0,1,1,4,1,1,1,1,3,4,1,0,4,0,0,0,0,0,4,31,10,42,37,25,25,146,30,106,0,10,0,0,0,0,0,ice evaders
0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nullptr
0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12,31,0,78,119,56,46,0,0,0,0,0,0,0,0,0,0,temporary team name
